"","month(NEWDATE)","year(NEWDATE)","Salinity.x","Reference"
"495",2,2014,0.4,1
"496",3,2014,0.4,2
"497",4,2014,0.4,2
"498",1,2015,0.4,3
"499",3,2015,0.4,3
"500",4,2015,0.4,2
"501",5,2015,0.4,3
"502",7,2015,0.4,2
"503",8,2015,0.4,1
"504",9,2015,0.4,3
"505",11,2015,0.4,3
"506",2,2016,0.4,3
"507",6,2016,0.4,1
"508",7,2016,0.4,3
"509",8,2016,0.4,5
"510",10,2016,0.4,3
"511",12,2016,0.4,3
"512",6,1997,0.5,1
"513",7,1997,0.5,1
"514",2,1998,0.5,1
"515",2,1999,0.5,1
"516",11,1999,0.5,1
"517",4,2000,0.5,1
"518",7,2001,0.5,2
"519",8,2001,0.5,1
"520",10,2001,0.5,1
"521",12,2001,0.5,1
"522",2,2002,0.5,2
"523",3,2002,0.5,1
"524",6,2002,0.5,3
"525",7,2002,0.5,3
"526",9,2002,0.5,3
"527",11,2002,0.5,3
"528",3,2003,0.5,1
"529",7,2003,0.5,1
"530",10,2003,0.5,1
"531",1,2004,0.5,6
"532",2,2004,0.5,3
"533",3,2004,0.5,1
"534",4,2004,0.5,2
"535",7,2004,0.5,1
"536",8,2004,0.5,2
"537",9,2004,0.5,1
"538",2,2005,0.5,1
"539",3,2005,0.5,2
"540",4,2005,0.5,1
"541",5,2005,0.5,1
"542",7,2005,0.5,1
"543",12,2005,0.5,3
"544",1,2006,0.5,1
"545",3,2006,0.5,4
"546",4,2006,0.5,3
"547",5,2006,0.5,1
"548",8,2006,0.5,1
"549",10,2006,0.5,3
"550",3,2007,0.5,2
"551",5,2007,0.5,2
"552",6,2007,0.5,1
"553",8,2007,0.5,2
"554",12,2007,0.5,5
"555",1,2008,0.5,1
"556",8,2008,0.5,3
"557",9,2008,0.5,2
"558",11,2008,0.5,1
"559",2,2009,0.5,1
"560",4,2009,0.5,1
"561",7,2009,0.5,2
"562",10,2009,0.5,2
"563",12,2009,0.5,1
"564",1,2010,0.5,3
"565",2,2010,0.5,1
"566",4,2010,0.5,3
"567",6,2010,0.5,1
"568",2,2011,0.5,2
"569",4,2011,0.5,2
"570",6,2011,0.5,3
"571",3,2012,0.5,2
"572",5,2012,0.5,2
"573",8,2012,0.5,6
"574",9,2012,0.5,2
"575",11,2012,0.5,1
"576",12,2012,0.5,4
"577",2,2013,0.5,4
"578",4,2013,0.5,1
"579",5,2013,0.5,1
"580",10,2013,0.5,1
"581",11,2013,0.5,2
"582",1,2014,0.5,6
"583",2,2014,0.5,4
"584",4,2014,0.5,1
"585",6,2014,0.5,2
"586",11,2014,0.5,1
"587",3,2015,0.5,2
"588",4,2015,0.5,4
"589",7,2015,0.5,2
"590",8,2015,0.5,4
"591",11,2015,0.5,1
"592",4,2016,0.5,3
"593",6,2016,0.5,3
"594",9,2016,0.5,1
"595",11,2016,0.5,2
"596",9,1996,0.6,1
"597",10,1996,0.6,1
"598",2,1997,0.6,1
"599",2,1998,0.6,1
"600",3,1998,0.6,1
"601",6,1998,0.6,2
"602",3,2000,0.6,1
"603",2,2001,0.6,2
"604",5,2001,0.6,3
"605",8,2001,0.6,1
"606",9,2001,0.6,4
"607",10,2001,0.6,2
"608",12,2001,0.6,2
"609",3,2002,0.6,2
"610",6,2002,0.6,1
"611",11,2002,0.6,1
"612",4,2003,0.6,3
"613",5,2003,0.6,2
"614",6,2003,0.6,2
"615",7,2003,0.6,1
"616",12,2003,0.6,2
"617",3,2004,0.6,1
"618",5,2004,0.6,1
"619",7,2004,0.6,1
"620",10,2004,0.6,2
"621",2,2005,0.6,1
"622",3,2005,0.6,2
"623",4,2005,0.6,1
"624",6,2005,0.6,1
"625",1,2006,0.6,2
"626",3,2006,0.6,1
"627",4,2006,0.6,2
"628",5,2006,0.6,3
"629",8,2006,0.6,6
"630",12,2006,0.6,2
"631",1,2007,0.6,1
"632",3,2007,0.6,4
"633",6,2007,0.6,2
"634",11,2007,0.6,1
"635",2,2008,0.6,1
"636",6,2008,0.6,1
"637",8,2008,0.6,1
"638",9,2008,0.6,1
"639",10,2008,0.6,3
"640",11,2009,0.6,2
"641",6,2011,0.6,1
"642",8,2011,0.6,1
"643",9,2011,0.6,1
"644",6,2012,0.6,2
"645",8,2012,0.6,7
"646",9,2012,0.6,1
"647",11,2012,0.6,1
"648",3,2013,0.6,3
"649",4,2013,0.6,1
"650",5,2013,0.6,1
"651",8,2013,0.6,3
"652",12,2013,0.6,2
"653",1,2014,0.6,2
"654",2,2014,0.6,3
"655",12,2014,0.6,1
"656",3,2015,0.6,2
"657",2,2016,0.6,1
"658",8,2016,0.6,3
"659",11,2016,0.6,1
"660",5,1997,0.7,1
"661",8,1997,0.7,1
"662",1,1998,0.7,3
"663",2,1998,0.7,2
"664",4,1998,0.7,2
"665",2,1999,0.7,1
"666",3,1999,0.7,1
"667",1,2000,0.7,1
"668",2,2001,0.7,1
"669",3,2001,0.7,1
"670",5,2001,0.7,6
"671",7,2001,0.7,3
"672",9,2001,0.7,1
"673",5,2002,0.7,3
"674",7,2002,0.7,2
"675",5,2003,0.7,1
"676",7,2003,0.7,10
"677",12,2003,0.7,1
"678",5,2004,0.7,1
"679",6,2004,0.7,1
"680",10,2004,0.7,1
"681",3,2005,0.7,2
"682",5,2005,0.7,1
"683",10,2005,0.7,4
"684",12,2005,0.7,1
"685",3,2006,0.7,3
"686",8,2006,0.7,4
"687",3,2007,0.7,2
"688",6,2007,0.7,1
"689",11,2007,0.7,1
"690",4,2008,0.7,2
"691",6,2008,0.7,1
"692",7,2008,0.7,9
"693",2,2009,0.7,2
"694",7,2009,0.7,1
"695",10,2009,0.7,1
"696",12,2009,0.7,1
"697",4,2010,0.7,2
"698",12,2010,0.7,1
"699",1,2011,0.7,2
"700",4,2011,0.7,2
"701",6,2011,0.7,3
"702",8,2011,0.7,3
"703",9,2011,0.7,1
"704",12,2011,0.7,3
"705",1,2012,0.7,2
"706",2,2012,0.7,1
"707",5,2012,0.7,1
"708",8,2012,0.7,1
