"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"1696","CKM1998111201",0.4,"B",22.4,43.2,8.2,27.9,6.3,NA
"1697","CKM1998111202",0.4,"B",23.1,42.8,8.2,27.6,5.5,NA
"1698","CKM1998111203",0.3,"B",24.1,41.2,8.3,26.4,6,NA
"1699","CKM1998111204",0.3,"B",24.3,36.7,8.5,23.2,7.1,NA
"1700","CKM1998111205",0.3,"B",25.4,37,8.4,23.4,6.1,NA
"1701","CKM1998111206",0.2,"B",26,28.8,8.2,17.8,6.2,NA
"1702","CKM1998111601",0.4,"B",22.9,36.6,8.2,23.2,6.4,NA
"1703","CKM1998111602",0.4,"B",23.1,31.1,8.2,19.3,5.8,NA
"1704","CKM1998111603",0.3,"B",23.2,26.8,8.2,16.4,6.2,NA
"1705","CKM1998111604",0.5,"B",22.9,22.9,8.1,13.8,6.2,NA
"1706","CKM1998111605",0.6,"B",22.9,18.8,8.2,11.3,6.3,NA
"1707","CKM1998111606",0.3,"B",22.5,5.5,8.2,3,6.1,NA
"1708","CKM1998111607",0.5,"B",22.4,5.1,8.2,2.7,6.2,NA
"1709","CKM1998111608",0.5,"B",23.3,32.6,8.3,20.5,6.7,NA
"1710","CKM1998111701",0.7,"B",23.6,2.7,8.1,1.4,6.5,NA
"1711","CKM1998111702",1,"B",24,21.3,8.1,12.8,6.1,NA
"1712","CKM1998111703",0.6,"B",25,27.8,8.1,17,6.9,NA
"1713","CKM1998111704",0.5,"B",24.8,13.8,8.2,8,6.6,NA
"1714","CKM1998111801",1.1,"B",22.3,4.1,8.1,1.8,6.8,NA
"1715","CKM1998111802",0.4,"B",24.7,40.1,8.3,25.2,6.6,NA
"1716","CKM1998111803",0.4,"B",24.9,39.9,8.4,25.5,9.1,NA
"1717","CKM1998111804",0.3,"B",25.3,39.4,8.4,25,8.8,NA
"1718","CKM1998111805",0.3,"B",25.4,39.9,8.5,25.4,9.3,NA
"1719","CKM1998112301",0.4,"B",22,45,8.5,29.1,7.1,NA
"1720","CKM1998112302",0.4,"B",21.8,13.3,8.2,7.7,6.8,NA
"1721","CKM1998112303",0.4,"B",23.3,4.3,8.5,2.4,8.5,NA
"1722","CKM1998120201",0.6,"B",21.4,44.6,8.1,28.9,6.8,NA
"1723","CKM1998120202",0.5,"B",20.9,43.3,8,27.9,6.1,NA
"1724","CKM1998120203",0.4,"B",21.6,31.9,8,20.1,6.5,NA
"1725","CKM1998120204",0.3,"B",20.2,16.5,8,9.4,7.5,NA
"1726","CKM1998120205",0.7,"B",20.6,28.2,8,17.3,7.4,NA
"1727","CKM1998120206",0.6,"B",21.3,36.7,7.9,23.3,6.9,NA
"1728","CKM1998120207",0.5,"B",21.4,34,8,21.4,7.4,NA
"1729","CKM1998120208",0.3,"B",22.6,41.1,8.2,26.4,8.3,NA
"1730","CKM1998120209",0.3,"B",22.7,41.1,8.2,26.3,8.5,NA
"1731","CKM1998120210",0.3,"B",22.7,42,8.3,27,8.7,NA
"1732","CKM1998120401",0.4,"B",21.5,43.2,8.2,27.9,6.2,NA
"1733","CKM1998120402",0.2,"B",21.8,47.3,8.4,30.8,6.7,NA
"1734","CKM1998120403",0.2,"B",22.1,47.4,8.4,30.9,6.8,NA
"1735","CKM1998120404",0.3,"B",22.3,50.1,8.5,32.8,6.7,NA
"1736","CKM1998120405",0.3,"B",24.2,49.5,8.6,32.5,7.9,NA
"1737","CKM1998120406",0.3,"B",25.4,48.4,8.7,31.7,8.9,NA
"1738","CKM1998120407",0.5,"B",23,47.2,8.5,30.7,7,NA
"1739","CKM1998120408",0.3,"B",23.8,45.7,8.5,29.6,7.7,NA
"1740","CKM1998120409",0.4,"B",23.2,47.2,8.6,30.7,7.7,NA
"1741","CKM1998120410",0.6,"B",23.1,47.6,8.6,31.1,7.5,NA
"1742","CKM1998120701",0.2,"B",21.7,4.3,8.4,2.3,7.1,NA
"1743","CKM1998120702",0.4,"B",22.7,32.3,8.6,20.1,7.3,NA
"1744","CKM1998120703",0.2,"B",22.2,3.3,8.7,1.8,8,NA
"1745","CKM1998120704",0.5,"B",22.9,1.8,8.9,0.9,8.6,NA
"1746","CKM1998120705",0.5,"B",24,24,8.5,14.6,8.6,NA
"1747","CKM1998120706",0.2,"B",22.8,9,8.5,5,7.2,NA
"1748","CKM1998120707",0.6,"B",22.6,2.5,8.7,1.3,7.6,NA
"1749","CKM1998120708",0.3,"B",22.9,12.1,8.5,7,7.4,NA
"1750","CKM1998120801",0.6,"B",22.8,46.1,8.3,30,6.2,NA
"1751","CKM1998120802",0.6,"B",23.9,48.9,8.8,31.9,7.7,NA
"1752","CKM1998121401",0.7,"B",17.9,48.9,8.5,32,6.7,NA
"1753","CKM1998121402",0.8,"B",17.9,44,8.6,29.9,7.2,NA
"1754","CKM1998121501",0.9,"B",14.9,36.9,8.5,23.4,8.3,NA
"1755","CKM1998121502",0.4,"B",14.8,39.2,8.6,24.3,9,NA
"1756","CKM1998121503",0.4,"B",16.3,28,8.9,17.3,13.2,NA
"1757","CKM1998121801",0.2,"B",13.2,17,8.7,10,9.1,NA
"1758","CKM1998121802",0.3,"B",11.2,35.3,8.8,22.2,9.7,NA
"1759","CKM1998121803",0.3,"B",14.3,31.5,8.5,19.8,10.1,NA
"1760","CKM1998121804",0.3,"B",12.3,38.7,8.9,24.7,9.1,NA
"1761","CKM1998122101",1,"B",18.2,44.4,9.1,28.6,10.1,NA
"1762","CKM1999010601",0.6,"B",7.5,52.7,8.7,34.8,9,NA
"1763","CKM1999010602",0.5,"B",7.8,49.6,8.8,32.5,9,NA
"1764","CKM1999010603",0.3,"B",9.1,25.3,8.8,15.5,10.4,NA
"1765","CKM1999010604",0.3,"B",11.5,13.8,8.7,7.9,9.4,NA
"1766","CKM1999010605",0.3,"B",10.3,16.3,8.4,9.6,9.6,NA
"1767","CKM1999010701",0.3,"B",8.8,40.6,8.9,25.9,10,NA
"1768","CKM1999010702",0.3,"B",8.8,42.5,9,27.4,9.8,NA
"1769","CKM1999010703",0.2,"B",9,43.2,9,27.9,10.2,NA
"1770","CKM1999010704",0.6,"B",8.9,39,9.1,24.9,10.9,NA
"1771","CKM1999010705",0.3,"B",9.9,36.8,9.1,23.2,11.1,NA
"1772","CKM1999010706",0.5,"B",9.9,35.7,9,22.5,10.9,NA
"1773","CKM1999010707",0.4,"B",10.4,35.6,9.2,22.4,12.1,NA
"1774","CKM1999010708",0.3,"B",13.4,41.3,9.2,26.5,12.4,NA
"1775","CKM1999010709",0.3,"B",13.8,39.3,9.2,25.2,12.4,NA
"1776","CKM1999010710",0.3,"B",12,40,9.2,25.5,12.4,NA
"1777","CKM1999011101",0.6,"B",10.5,43.3,9.2,27.9,9.1,NA
